index,uf_sigla,competen,cod_regsaud,regiao_saude,qtd,tipo,codigo_sigtap,mes,parametro,procedimento,tipo_procedimento,Público,nivel_atencao,quantidade,mês_procedimento_realizado,fk_previsoes
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0205020143,-2,1.0,Ultrassonografia,Exames,Gestantes de Alto Risco,Especializada,461.7,2022-12-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010110,-2,2.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,6156.0,2022-12-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100483,-2,0.3,Consulta de profissionais de nível superior da especializada (nutricionista),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,138.51,2022-12-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100480,-2,2.0,Consulta de profissionais de nível superior da especializada (psicologo),Consultas ou Visitas,Gestantes de Alto Risco,APS,923.4,2022-12-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100485,-2,2.0,Consulta de profissionais de nível superior da especializada (técnico de enfermagem),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,923.4,2022-12-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010137,-1,2.0,Visita domiciliar,Consultas ou Visitas,Todas gestantes,APS,6156.0,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100482,-1,2.0,Consulta de profissionais de nível superior da especializada (assistente social),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,923.4,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010153,-1,1.0,Avaliação odontológica,Consultas ou Visitas,Todas gestantes,APS,3078.0,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100481,-1,2.0,Consulta de profissionais de nível superior da especializada (enfermeiro),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,923.4,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0205020151,-1,1.0,Ultrassonografia obstétrica com Doppler colorido e pulsado,Exames,Gestantes de Alto Risco,Especializada,461.7,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0205020500,-1,1.0,Ultrassonografia morfológica,Exames,Gestantes de Alto Risco,Especializada,461.7,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0211040061,-1,1.0,Tococardiografia ante-parto,Exames,Gestantes de Alto Risco,Especializada,461.7,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010072,-1,2.0,Consulta na atenção especializada - ginecologista obstetra,Consultas ou Visitas,Gestantes de Alto Risco,Especializada,923.4,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0205020143,-1,1.0,Ultrassonografia,Exames,Gestantes de Alto Risco,Especializada,461.7,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010110,-1,2.0,Consulta pré-natal,Consultas ou Visitas,Todas gestantes,APS,6156.0,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100480,-1,2.0,Consulta de profissionais de nível superior da especializada (psicologo),Consultas ou Visitas,Gestantes de Alto Risco,APS,923.4,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100485,-1,2.0,Consulta de profissionais de nível superior da especializada (técnico de enfermagem),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,923.4,2023-01-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100482,0,1.0,Consulta de profissionais de nível superior da especializada (assistente social),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,461.7,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100481,0,1.0,Consulta de profissionais de nível superior da especializada (enfermeiro),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,461.7,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0202110060,0,1.0,Triagem biológica (teste do pezinho),Exames,Todas as crianças,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0211070149,0,1.0,Tiriagem auditiva (teste da orelhinha),Exames,Todas as crianças,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010080,0,2.0,Consulta da criança (primeira semana de vida),Consultas ou Visitas,Todas as crianças,APS,6156.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0211060275,0,1.0,Teste do reflexo vermelho (teste do olhinho),Exames,Todas as crianças,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0211020079,0,1.0,Triagem de cardiopatia congênita crítica ou oximetria de pulso (teste do coraçãozinho),Exames,Todas as crianças,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010072,0,1.0,Consulta na atenção especializada - ginecologista obstetra,Consultas ou Visitas,Gestantes de Alto Risco,Especializada,461.7,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010129,0,1.0,Consulta puerperal,Consultas ou Visitas,Todas gestantes,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0310010039,0,1.0,Parto,Parto,Todas gestantes,Especializada,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100480,0,1.0,Consulta de profissionais de nível superior da especializada (psicologo),Consultas ou Visitas,Gestantes de Alto Risco,APS,461.7,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,03010100485,0,1.0,Consulta de profissionais de nível superior da especializada (técnico de enfermagem),Consultas ou Visitas,Gestantes de Alto Risco,Especializada,461.7,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,1234,0,1.0,Imunização ao nascer,Imunização,Todas as crianças,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,1234,0,1.0,Imunização ao nascer,Imunização,Todas as crianças,APS,3078.0,2023-02-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010080,1,1.0,Consulta da criança (primeiro mês de vida),Consultas ou Visitas,Todas as crianças,APS,3078.0,2023-03-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010129,1,1.0,Consulta puerperal,Consultas ou Visitas,Todas gestantes,APS,3078.0,2023-03-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,1234,1,1.0,Imunização do primeiro mês,Imunização,Todas as crianças,APS,3078.0,2023-03-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010080,2,1.0,Consulta da criança (segundo mês de vida),Consultas ou Visitas,Todas as crianças,APS,3078.0,2023-04-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,1234,2,1.0,Imunização do segundo mês,Imunização,Todas as crianças,APS,3078.0,2023-04-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,0301010080,4,1.0,Consulta da criança (quarto mês de vida),Consultas ou Visitas,Todas as crianças,APS,3078.0,2023-06-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,1234,4,1.0,Imunização do quarto mês,Imunização,Todas as crianças,APS,3078.0,2023-06-01T00:00,5291
5291,AM,2023-02-01T00:00,13001,"Manaus, Entorno e Alto Rio Negro",3078.0,Valor observado - teste,1234,5,1.0,Imunização do quinto mês,Imunização,Todas as crianças,APS,3078.0,2023-07-01T00:00,5291
